CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHRMINE
DL,7454,DELTA AIRLINES,2024-08-04T06:10:00,2024-08-04T06:24:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,DEPARTED
LY,357,EL AL ISRAEL AIRLINES,2024-08-04T06:10:00,2024-08-04T06:24:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,DEPARTED
SK,3165,SAS,2024-08-04T06:10:00,2024-08-04T06:24:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,DEPARTED
6H,041,ISRAIR AIRLINES,2024-08-04T06:00:00,2024-08-04T06:26:00,D,ETM,RAMON,RAMON,ISRAEL,1,DEPARTED
AM,7864,AERO MEXICO,2024-08-04T06:20:00,2024-08-04T06:30:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,DEPARTED
G2,308,GULLIVAIR,2024-08-04T06:30:00,2024-08-04T06:30:00,D,RHO,RHODES-PARADISI,RHODES,GREECE,3,CANCELED
KL,2473,K.L.M.,2024-08-04T06:20:00,2024-08-04T06:30:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,DEPARTED
LY,337,EL AL ISRAEL AIRLINES,2024-08-04T06:20:00,2024-08-04T06:30:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,DEPARTED
SK,3155,SAS,2024-08-04T06:20:00,2024-08-04T06:30:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,DEPARTED
H4,238,HISKY EUROPE SRL,2024-08-03T23:45:00,2024-08-04T06:34:00,D,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,DEPARTED
BT,772,AIR BALTIC,2024-08-04T06:40:00,2024-08-04T06:40:00,D,RIX,RIGA,RIGA,LATVIA,3,CANCELED
LY,2371,EL AL ISRAEL AIRLINES,2024-08-04T06:20:00,2024-08-04T06:40:00,D,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,DEPARTED
SK,3157,SAS,2024-08-04T06:20:00,2024-08-04T06:40:00,D,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,DEPARTED
LY,082,EL AL ISRAEL AIRLINES,2024-08-04T06:30:00,2024-08-04T06:48:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,LANDED
QF,5021,QANTAS AIRWAYS,2024-08-04T06:30:00,2024-08-04T06:48:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,LANDED
TG,4583,THAI AIRWAYS,2024-08-04T06:30:00,2024-08-04T06:48:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,LANDED
VN,3299,VIETNAM AIRLINES,2024-08-04T06:30:00,2024-08-04T06:48:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,LANDED
6H,515,ISRAIR AIRLINES,2024-08-04T15:10:00,2024-08-04T06:51:00,D,RHO,RHODES-PARADISI,RHODES,GREECE,1,DEPARTED
